from_stop_id,to_stop_id,transfer_type,min_transfer_time
7275550,1166840,2,235
7275550,1166841,2,235
7275314,1166835,2,243
7275314,1166834,2,243
1166830,7920846,2,196
1166834,4036767,2,246
1166830,7920845,2,216
1166834,4036769,2,240
7932238,1166840,2,195
7932238,1166841,2,195
1166833,3926299,2,265
7931745,1166840,2,275
7931745,1166841,2,275
7931501,1166832,2,216
1166833,3926298,2,259
1166838,4008206,2,226
7275548,1166840,2,226
7275548,1166841,2,226
7931501,1166833,2,216
8033002,1166835,2,168
7013386,1166825,2,268
7013386,1166824,2,268
8033002,1166834,2,168
7946301,6129304,2,199
1166831,7964982,2,216
7946301,6129305,2,199
7986311,1166834,2,294
1166832,4035992,2,272
1166832,4035991,2,259
7986311,1166835,2,294
1166832,4035990,2,265
1869,1166838,2,180
3343765,1166838,2,180
3343765,1166839,2,180
1166833,7898840,2,205
7931908,1166824,2,243
1869,1166839,2,180
1166833,7898842,2,190
7931908,1166825,2,243
1166833,7898843,2,207
1166840,4473192,2,252
1166840,4473191,2,210
1166840,7899122,2,205
1166840,4473190,2,210
1166840,7899121,2,204
1166832,4035989,2,207
1166832,4035988,2,207
7931502,1166833,2,207
7931502,1166832,2,207
7153046,1166832,2,189
1166840,4036747,2,210
7153046,1166833,2,189
1166833,7898839,2,205
1166827,3887747,2,279
7946302,6129305,2,252
7946302,6129304,2,252
1166840,4036748,2,227
1166840,4036749,2,234
6591847,1166835,2,241
6591847,1166834,2,241
5231611,1166832,2,259
5231611,1166833,2,259
1166841,7900216,2,186
1166841,7900217,2,186
1166838,7913223,2,193
2468,1166840,2,180
2468,1166841,2,180
1166841,3893336,2,187
1166841,3893335,2,187
1166834,7275453,2,211
6217416,1166840,2,210
1166834,7275452,2,266
1166834,7275451,2,209
4471844,1166833,2,189
1166834,7275450,2,243
4471844,1166832,2,189
6217416,1166841,2,210
1166840,3893335,2,187
1166840,3893336,2,187
5675643,1166833,2,259
7921116,1166834,2,207
7921116,1166835,2,207
5675643,1166832,2,259
1166830,7964982,2,216
2068,1166830,2,180
1166835,7922511,2,152
5675644,1166832,2,207
1166835,7922510,2,152
5675644,1166833,2,207
1166831,7898847,2,196
1166835,7922512,2,346
1166835,7899577,2,246
1166831,7898846,2,216
2068,1166831,2,180
1166841,7921088,2,242
1166841,7921089,2,200
1166832,7964980,2,207
1166830,7898846,2,216
5675641,1166832,2,207
1166830,7898847,2,196
1166841,3749689,2,215
1166835,7900042,2,243
5675641,1166833,2,207
5158082,1166840,2,241
