service_id,date,exception_type
12905781,20190618,1
12905781,20190619,1
12905781,20190620,1
12905781,20190621,1
12905781,20190625,1
12905781,20190626,1
12905781,20190627,1
12905781,20190628,1
12905781,20190629,1
2954960,20190607,1
12830995,20190922,1
12830995,20190923,1
12830995,20190929,1
12830995,20190930,1
12830995,20191006,1
12830995,20191007,1
12830995,20191013,1
12830995,20191014,1
12830995,20191110,1
12830995,20191111,1
12830995,20191112,1
12830995,20191117,1
12830995,20191118,1
12830995,20191124,1
12830995,20191125,1
2830995,20190921,1
2830995,20190922,1
2830995,20190928,1
2830995,20190929,1
2830995,20191005,1
2830995,20191006,1
2830995,20191012,1
2830995,20191013,1
2830995,20191109,1
2830995,20191110,1
2830995,20191111,1
2830995,20191116,1
2830995,20191117,1
2830995,20191123,1
2830995,20191124,1
2971454,20190621,1
12971454,20190622,1
2905781,20190617,1
2905781,20190618,1
2905781,20190619,1
2905781,20190620,1
2905781,20190624,1
2905781,20190625,1
2905781,20190626,1
2905781,20190627,1
2905781,20190628,1
12954960,20190608,1
2928858,20190605,1
2928858,20190606,1
2928858,20190611,1
2928858,20190612,1
2928858,20190613,1
2928858,20190614,1
2928858,20190701,1
2928858,20190702,1
2928858,20190703,1
2928858,20190704,1
2928858,20190705,1
12914537,20190609,1
12914537,20190610,1
12914537,20190611,1
12914537,20190616,1
12914537,20190617,1
12914537,20190623,1
12914537,20190624,1
12914537,20190630,1
12914537,20190701,1
12914537,20190707,1
12914537,20190708,1
12914537,20190714,1
12914537,20190902,1
12914537,20190908,1
12914537,20190909,1
12914537,20190915,1
12914537,20190916,1
12914537,20191020,1
12914537,20191021,1
12914537,20191027,1
12914537,20191028,1
12914537,20191102,1
12914537,20191103,1
12914537,20191104,1
12914537,20191201,1
12914537,20191202,1
12928858,20190606,1
12928858,20190607,1
12928858,20190612,1
12928858,20190613,1
12928858,20190614,1
12928858,20190615,1
12928858,20190702,1
12928858,20190703,1
12928858,20190704,1
12928858,20190705,1
12928858,20190706,1
2914537,20190608,1
2914537,20190609,1
2914537,20190610,1
2914537,20190615,1
2914537,20190616,1
2914537,20190622,1
2914537,20190623,1
2914537,20190629,1
2914537,20190630,1
2914537,20190706,1
2914537,20190707,1
2914537,20190713,1
2914537,20190901,1
2914537,20190907,1
2914537,20190908,1
2914537,20190914,1
2914537,20190915,1
2914537,20191019,1
2914537,20191020,1
2914537,20191026,1
2914537,20191027,1
2914537,20191101,1
2914537,20191102,1
2914537,20191103,1
2914537,20191130,1
2914537,20191201,1
